run,model,split,gen_time
76,CWGAN,Y1,0.257065000001603
76,CWGAN,Y2,0.2204629999978351
76,Diffusion,Y1,0.8460113999972236
76,Diffusion,Y2,0.824402199999895
76,RectFlow,Y1,0.7675681000000623
76,RectFlow,Y2,0.7700661000017135
77,CWGAN,Y1,0.2359255000010307
77,CWGAN,Y2,0.1951570999990508
77,Diffusion,Y1,0.827863200000138
77,Diffusion,Y2,0.8637669999989157
77,RectFlow,Y1,0.7857753000025696
77,RectFlow,Y2,0.779238200000691
78,CWGAN,Y1,0.2323051999992458
78,CWGAN,Y2,0.1859891000021889
78,Diffusion,Y1,0.8341229999969073
78,Diffusion,Y2,0.828009299999394
78,RectFlow,Y1,0.7641823000012664
78,RectFlow,Y2,0.7532840999992914
79,CWGAN,Y1,0.2386060999997425
79,CWGAN,Y2,0.1757465000009688
79,Diffusion,Y1,0.8309425999977975
79,Diffusion,Y2,0.8393528000015067
79,RectFlow,Y1,0.7736451999990095
79,RectFlow,Y2,0.770663200000854
80,CWGAN,Y1,0.2362539999994624
80,CWGAN,Y2,0.177929800000129
80,Diffusion,Y1,0.8300742999999784
80,Diffusion,Y2,0.8258352000011655
80,RectFlow,Y1,0.7631064000015613
80,RectFlow,Y2,0.7699690000008559
81,CWGAN,Y1,0.2473678999995172
81,CWGAN,Y2,0.2162290000014763
81,Diffusion,Y1,0.8422121000003244
81,Diffusion,Y2,0.8275255999978981
81,RectFlow,Y1,0.7870025000011083
81,RectFlow,Y2,0.7677714000019478
82,CWGAN,Y1,0.2044566000004124
82,CWGAN,Y2,0.2390702000011515
82,Diffusion,Y1,0.8268352000013692
82,Diffusion,Y2,0.8195350999994844
82,RectFlow,Y1,0.7658379999993485
82,RectFlow,Y2,0.7602662000026612
83,CWGAN,Y1,0.2232253999973181
83,CWGAN,Y2,0.1786821999994572
83,Diffusion,Y1,0.857680100001744
83,Diffusion,Y2,0.843379999998433
83,RectFlow,Y1,0.7680817000000388
83,RectFlow,Y2,0.770111599998927
84,CWGAN,Y1,0.2287806999993336
84,CWGAN,Y2,0.2729526000002806
84,Diffusion,Y1,0.8408417999999074
84,Diffusion,Y2,0.8253688000004331
84,RectFlow,Y1,0.7790371000010055
84,RectFlow,Y2,0.768167900001572
85,CWGAN,Y1,0.2249229000008199
85,CWGAN,Y2,0.1811326999995799
85,Diffusion,Y1,0.8334434999997029
85,Diffusion,Y2,0.829176399998687
85,RectFlow,Y1,0.7647060999988753
85,RectFlow,Y2,0.7783401999986381
86,CWGAN,Y1,0.2381376999983331
86,CWGAN,Y2,0.2176096000002871
86,Diffusion,Y1,0.8454531000024872
86,Diffusion,Y2,0.8334297000001243
86,RectFlow,Y1,0.781162499999482
86,RectFlow,Y2,0.7610297999999602
87,CWGAN,Y1,0.2262498999989475
87,CWGAN,Y2,0.2111027999999351
87,Diffusion,Y1,0.8252780000002531
87,Diffusion,Y2,0.8289866999984952
87,RectFlow,Y1,0.7667495999994571
87,RectFlow,Y2,0.7690928999982134
88,CWGAN,Y1,0.2398097000004782
88,CWGAN,Y2,0.2108147999970242
88,Diffusion,Y1,0.8660703999994439
88,Diffusion,Y2,0.8420426999982737
88,RectFlow,Y1,0.7682612999997218
88,RectFlow,Y2,0.7906161999999313
89,CWGAN,Y1,0.2439830000002985
89,CWGAN,Y2,0.1737635999998019
89,Diffusion,Y1,0.8365158999986306
89,Diffusion,Y2,0.8393382999965979
89,RectFlow,Y1,0.7662557000003289
89,RectFlow,Y2,0.7711159999998927
90,CWGAN,Y1,0.2267181999995955
90,CWGAN,Y2,0.188239799997973
90,Diffusion,Y1,0.8603145999986737
90,Diffusion,Y2,0.8442862999982026
90,RectFlow,Y1,0.7707641999986663
90,RectFlow,Y2,0.7634737999978825
91,CWGAN,Y1,0.1964665000014065
91,CWGAN,Y2,0.2476313999977719
91,Diffusion,Y1,0.8390995000008843
91,Diffusion,Y2,0.8389986000001954
91,RectFlow,Y1,0.7798034000006737
91,RectFlow,Y2,0.7638928000014857
92,CWGAN,Y1,0.1860196000016003
92,CWGAN,Y2,0.1727859000020544
92,Diffusion,Y1,0.8480502999991586
92,Diffusion,Y2,0.8607158999984676
92,RectFlow,Y1,0.7785457000027236
92,RectFlow,Y2,0.7800423000007868
93,CWGAN,Y1,0.234514499999932
93,CWGAN,Y2,0.2438958000020648
93,Diffusion,Y1,0.8419971000002988
93,Diffusion,Y2,0.8503687000011269
